op       frequency        %
sublo    9                0.0%
stmge    8                0.0%
blls     8                0.0%
ldrbls   8                0.0%
ldmne    8                0.0%
ldmeq    8                0.0%
rsbgt    8                0.0%
ldrlo    8                0.0%
andle    8                0.0%
rsble    8                0.0%
lslle    8                0.0%
rsbmi    8                0.0%
movmi    7                0.0%
ldrbge   7                0.0%
ldrsheq  7                0.0%
ldrshne  7                0.0%
andge    7                0.0%
asrne    7                0.0%
mvngt    7                0.0%
mvnlo    7                0.0%
teqeq    7                0.0%
sbc.s    7                0.0%
ldmge    6                0.0%
strblt   6                0.0%
andlo    6                0.0%
lsrhi    6                0.0%
cmple    6                0.0%
orrlt    6                0.0%
submi    6                0.0%
bxlo     6                0.0%
bllo     6                0.0%
orrlo    6                0.0%
mvnle    6                0.0%
rsbhi    6                0.0%
ror      6                0.0%
orr.sne  6                0.0%
eorgt    6                0.0%
mov.s    5                0.0%
tstne    5                0.0%
ldrdeq   5                0.0%
mlane    5                0.0%
mvnge    5                0.0%
ldrmi    5                0.0%
stmne    5                0.0%
mlaeq    5                0.0%
rsbhs    5                0.0%
bxgt     5                0.0%
lsllt    5                0.0%
lsr.seq  5                0.0%
popge    5                0.0%
bxge     5                0.0%
and.sne  5                0.0%
strbge   4                0.0%
ldrbgt   4                0.0%
sublt    4                0.0%
smlal    4                0.0%
mul.s    4                0.0%
movpl    4                0.0%
lslhi    4                0.0%
addpl    4                0.0%
strhgt   4                0.0%
ldrhge   4                0.0%
cmnne    4                0.0%
andlt    4                0.0%
ldrblt   4                0.0%
rsblo    4                0.0%
mvnhs    4                0.0%
rsbls    4                0.0%
orrhi    4                0.0%
cmneq    4                0.0%
strhs    4                0.0%
strble   4                0.0%
cmplo    4                0.0%
rrx.s    4                0.0%
rsb.sgt  4                0.0%
bxle     4                0.0%
cmphi    4                0.0%
tsteq    4                0.0%
cmphs    3                0.0%
ldmdbge  3                0.0%
stmdbge  3                0.0%
mulhi    3                0.0%
stmeq    3                0.0%
cmpge    3                0.0%
strhle   3                0.0%
lsrgt    3                0.0%
bxhs     3                0.0%
lsr.sne  3                0.0%
orrmi    3                0.0%
mvn.seq  3                0.0%
umlal    3                0.0%
lsl.sne  3                0.0%
mulle    3                0.0%
bichi    3                0.0%
strdeq   2                0.0%
smull    2                0.0%
mulls    2                0.0%
lsrge    2                0.0%
mlahs    2                0.0%
ldmhs    2                0.0%
mvnls    2                0.0%
ldrbhi   2                0.0%
lslhs    2                0.0%
lsrle    2                0.0%
eorhi    2                0.0%
andgt    2                0.0%
strhge   2                0.0%
bicgt    2                0.0%
lsrmi    2                0.0%
orr.seq  2                0.0%
popgt    2                0.0%
pople    2                0.0%
sub.seq  2                0.0%
lsl.seq  2                0.0%
bic.sne  2                0.0%
ldrble   2                0.0%
mlals    2                0.0%
mlale    2                0.0%
popeq    1                0.0%
sub.sge  1                0.0%
bicge    1                0.0%
lsrls    1                0.0%
mlage    1                0.0%
lslls    1                0.0%
blmi     1                0.0%
ldmls    1                0.0%
asrhi    1                0.0%
asrle    1                0.0%
eorlt    1                0.0%
andhs    1                0.0%
mla.s    1                0.0%
swpeq    1                0.0%
mulge    1                0.0%
lslgt    1                0.0%
ldrhle   1                0.0%
ldrhgt   1                0.0%
lsrlo    1                0.0%
umulleq  1                0.0%
bxpl     1                0.0%
mulne    1                0.0%
umullhi  1                0.0%
lsrlt    1                0.0%
mulhs    1                0.0%
lsrpl    1                0.0%
asrpl    1                0.0%
lslmi    1                0.0%
lslpl    1                0.0%
pophi    1                0.0%
popne    1                0.0%
poplo    1                0.0%
rsc.s    1                0.0%
cmppl    1                0.0%
asrhs    1                0.0%
cmnmi    1                0.0%
sub.shs  1                0.0%
rsb.shs  1                0.0%
bxlt     1                0.0%
fldmiax  1                0.0%
fstmiax  1                0.0%
ldrbhs   1                0.0%
strbhs   1                0.0%
asrgt    1                0.0%
subpl    1                0.0%
strhlt   1                0.0%
rorne    1                0.0%
biclo    1                0.0%
asrls    1                0.0%
cmpgt    1                0.0%
strbpl   1                0.0%
lslge    1                0.0%
cmplt    1                0.0%
