op       frequency        %
mvn.s    12               0.0%
blls     11               0.0%
blle     11               0.0%
pople    11               0.0%
eorne    11               0.0%
mvnmi    11               0.0%
eoreq    11               0.0%
orrle    11               0.0%
sublo    11               0.0%
stmdb    10               0.0%
strblt   10               0.0%
ldrbls   10               0.0%
suble    10               0.0%
rsbhi    10               0.0%
ldrbge   9                0.0%
ldrheq   9                0.0%
mvngt    9                0.0%
lslle    9                0.0%
cmplo    9                0.0%
rsbgt    9                0.0%
mvnhi    9                0.0%
ldmeq    9                0.0%
rsble    9                0.0%
rsbge    9                0.0%
movmi    8                0.0%
stmge    8                0.0%
strbge   8                0.0%
rsbls    8                0.0%
andle    8                0.0%
poplo    8                0.0%
orrge    8                0.0%
ror      8                0.0%
mov.s    7                0.0%
ldmne    7                0.0%
cmple    7                0.0%
submi    7                0.0%
mvnge    7                0.0%
strble   7                0.0%
teqeq    7                0.0%
ldmge    6                0.0%
lsrhi    6                0.0%
strhs    6                0.0%
andge    6                0.0%
popgt    6                0.0%
stmne    6                0.0%
bllo     6                0.0%
orrlo    6                0.0%
rsbhs    6                0.0%
mvnle    6                0.0%
orrhi    6                0.0%
orr.sne  6                0.0%
mvn.sne  6                0.0%
tstne    5                0.0%
ldrbgt   5                0.0%
movpl    5                0.0%
mvnhs    5                0.0%
mlane    5                0.0%
pophi    5                0.0%
ldrmi    5                0.0%
mvnlo    5                0.0%
lsr.seq  5                0.0%
and.sne  5                0.0%
andlo    5                0.0%
mul.s    4                0.0%
lslhi    4                0.0%
bichi    4                0.0%
stmeq    4                0.0%
cmnne    4                0.0%
cmpge    4                0.0%
ldrblt   4                0.0%
mlaeq    4                0.0%
rsblo    4                0.0%
ldrsbeq  4                0.0%
cmneq    4                0.0%
orr.seq  4                0.0%
rrx.s    4                0.0%
rsb.sgt  4                0.0%
cmphi    4                0.0%
sbc.s    4                0.0%
tsteq    4                0.0%
cmphs    3                0.0%
ldmdbge  3                0.0%
stmdbge  3                0.0%
sub.sge  3                0.0%
sublt    3                0.0%
ldrbhi   3                0.0%
andlt    3                0.0%
mulne    3                0.0%
lsrgt    3                0.0%
orrlt    3                0.0%
lsr.sne  3                0.0%
orrmi    3                0.0%
addpl    3                0.0%
mulle    3                0.0%
popmi    2                0.0%
mulls    2                0.0%
mulhi    2                0.0%
lsrls    2                0.0%
lsrge    2                0.0%
mlahs    2                0.0%
ldmhs    2                0.0%
mvnls    2                0.0%
sub.seq  2                0.0%
strbpl   2                0.0%
lslhs    2                0.0%
lslmi    2                0.0%
lsrle    2                0.0%
eorhi    2                0.0%
lsllt    2                0.0%
stmibeq  2                0.0%
andgt    2                0.0%
asrge    2                0.0%
tsthi    2                0.0%
lsrmi    2                0.0%
bic.sne  2                0.0%
ldrble   2                0.0%
mlals    2                0.0%
mlale    2                0.0%
mul.seq  1                0.0%
andpl    1                0.0%
rsb.seq  1                0.0%
pophs    1                0.0%
bicge    1                0.0%
mlage    1                0.0%
adcmi    1                0.0%
biclt    1                0.0%
lslls    1                0.0%
strmi    1                0.0%
asrgt    1                0.0%
blmi     1                0.0%
ldmls    1                0.0%
asrhi    1                0.0%
asrle    1                0.0%
eorlt    1                0.0%
andhs    1                0.0%
mla.s    1                0.0%
swpeq    1                0.0%
mulpl    1                0.0%
lslgt    1                0.0%
lsrlo    1                0.0%
ldrpl    1                0.0%
blpl     1                0.0%
asrlt    1                0.0%
ldrbhs   1                0.0%
strbhs   1                0.0%
mulhs    1                0.0%
lsrpl    1                0.0%
asrpl    1                0.0%
lslpl    1                0.0%
mvn.seq  1                0.0%
rsc.s    1                0.0%
cmppl    1                0.0%
asrhs    1                0.0%
cmnmi    1                0.0%
sub.shs  1                0.0%
rsb.shs  1                0.0%
lsl.sne  1                0.0%
subpl    1                0.0%
rorne    1                0.0%
biclo    1                0.0%
asrls    1                0.0%
cmpgt    1                0.0%
cmplt    1                0.0%
